study	Primary	Sequencing	N	coef	SE	95CI_low	95CI_high	Pval	I2	Pval_I2
Braun	Kidney	WES	207	1.31	1	-0.63	3.3	0.19116187669392		
Hugo	Melanoma	WES	38	-1.15	0.88	-3.03	0.51	0.192069400517325		
Jung	Lung	WES	58	-2.89	1.87	-6.81	0.72	0.12320240249438		
Liu	Melanoma	WES	133	-0.6	0.33	-1.27	0.04	0.0699389753777812		
Mariathasan	Bladder	TGS	111	-1.4	0.76	-3.01	-0.01	0.0654101643137176		
Mariathasan	Kidney	TGS	41	-4.15	1.97	-8.51	-0.67	0.0354133425733776		
Miao.1	Kidney	WES	26	6.64	4.65	-1.94	16.66	0.153071317449668		
Miao.2	Bladder	WES	23	-4.06	2.01	-8.59	-0.55	0.0429795958386913		
Miao.2	Lung	WES	46	-4.08	1.32	-7.01	-1.77	0.00206350292809808		
Miao.2	Melanoma	WES	121	-0.9	0.41	-1.74	-0.11	0.0282676251140886		
Nathanson	Melanoma	WES	64	-1.9	0.74	-3.47	-0.53	0.0103990433952875		
Riaz	Melanoma	WES	42	-0.88	0.59	-2.1	0.26	0.136832503169481		
Rizvi.15	Lung	WES	27	-3.34	1.54	-6.88	-0.68	0.0299558614957989		
Rizvi.18	Lung	TGS	29	-1.91	1.43	-5.05	0.74	0.181139430451187		
Samstein	Esophagus	TGS	21	-0.26	1.57	-3.28	2.68	0.86966691869969		
Samstein	HNC	TGS	72	0.23	0.56	-0.91	1.31	0.677660893752833		
Samstein	Melanoma	TGS	108	-1	0.33	-1.66	-0.37	0.00232570823833877		
Samstein	Unknown	TGS	29	-2.78	0.88	-4.72	-1.22	0.0015732380306142		
Snyder	Ureteral	WES	22	-1.02	0.88	-2.92	0.62	0.24338559549317		
Van_Allen	Melanoma	WES	104	-0.52	0.49	-1.5	0.45	0.288334147400417		
Meta-analysis	ALL		1322	-1.1	0.24	-1.57	-0.63	4.09577538170971e-06	0.46	0.0128496553144055
