gene_id,gene_name
1,
2,RP11-328J14.2
3,CTD-2611O12.7
4,GLYATL2
5,RP3-477O4.16
6,HMGB1P29
7,RP11-927P21.8
8,AC093534.1
9,LYSMD2
10,RP11-348F1.2
11,AC002367.1
12,RNA5SP307
13,PRAC1
14,RNA5SP394
15,RNU6-983P
16,LOC101926888
17,UBBP3
18,RP11-211C9.1
19,AC092650.2
20,ARHGAP16P
21,PGK2
22,SEPT7P8
23,RP11-93H12.3
24,MIR4744
25,AC091133.5
26,RP11-533K11.1
27,SIAH1
28,AL161932.2
29,OR8K2P
30,RPS27P22
31,LOC728323
32,SNRPGP4
33,RP1-85F18.5
34,RP1-56K13.2
35,AC012213.5
36,CENPVL3
37,RP11-15H20.2
38,GU182339.2
39,PDCD1
40,CAPZA1P2
41,RP5-1028K7.3
42,RP11-540A21.2
43,NXF4
44,AC073648.1
45,ETFB
46,LRTM1
47,RP11-455O6.2
48,RN7SL187P
49,AL596087.1
50,CYCSP46
51,RP11-204E9.1
52,RPL29P3
53,CFAP20
54,AC016994.2
55,KRTAP29-1
56,AMER1
57,AL117344.1
58,ASXL3
59,HMGB1P4
60,AC060773.1
61,RP11-235D19.2
62,AC008686.1
63,MIR22HG
64,AL035419.1
65,snoZ5
66,ZBTB46-AS1
67,ANKRD13B
68,PERM1
69,RELCH
70,KIAA0125
71,RP11-412P11.1
72,LOC101927666
73,RP11-56P9.8
74,RP11-1113L8.6
75,PBRM1
76,AC003989.1
77,RP11-708J19.1
78,AC078828.1
79,PDE7A
80,RP11-234B24.5
81,PLXNA1
82,AC092287.1
83,ZNF99
84,SLC25A6P4
85,BNIP3P30
86,AC078883.3
87,NR2C2
88,CAST
89,RP11-507D14.4
90,IGHV3-30-2
91,RNU2-45P
92,SMIM21
93,GABRB1
94,RP11-115I9.1
95,C2CD6
96,AC112191.1
97,AC091738.1
98,RP11-339B21.8
99,RN7SKP244
100,RNU6-85P
101,RP11-344P13.1
102,RN7SL188P
103,RP11-640N20.8
104,RNU6-516P
105,LINC02145
106,HCG14
107,B3GAT2
108,AC093642.3
109,RPL7AP30
110,LOC101928259
111,AC103834.1
112,IGHV3-73
113,MTND5P22
114,CIDECP
115,CTD-2651B20.5
116,BRI3BPP1
117,RP11-777B9.5
118,IP6K3
119,FBXL22
120,AP006216.10
121,RNU2-59P
122,GOLGA6L11P
123,AP000692.9
124,AL445675.2
125,AC016629.7
126,RP11-404K5.1
127,DPH6
128,FAM197Y6
129,AC009779.6
130,GPAT4
131,RP5-956O18.2
132,RP11-197N18.7
133,RBBP4P5
134,RP11-10L12.4
135,AC093392.2
136,RP11-480C22.1
137,ZNF624
138,HAX1
139,RP11-864I4.3
140,FLJ31356
141,RP11-348N5.7
142,AC117947.1
143,AC005740.4
144,CXCR2
145,RP1-24O22.5
146,RP11-23J9.3
147,LINC02728
148,MIR3529
149,RP4-533D7.5
150,AC109642.1
151,AC004893.2
152,Z97053.1
153,IAPP
154,RP11-713C9.1
155,GAS7
156,MRPL50P2
157,RUVBL1-AS1
158,RPS3AP22
159,RP11-532E4.2
160,AC026320.2
161,PTPMT1
162,BC043541
163,EML5
164,XXbac-BPG170G13.32
165,NUP37
166,KIF13A
167,AC073188.1
168,PARP15
169,C14orf23
170,RP4-562D20.2
171,RNU6-1340P
172,RNA5SP382
173,RPS20P10
174,U73479.1
